experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_torbrowser","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616770569524,420,"3/26/2021, 7:56:09 AM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_torbrowser","katib.net","https://katib.net/",0,"katib.net_0",1616770594009,420,"3/26/2021, 7:56:34 AM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_torbrowser","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616770614989,420,"3/26/2021, 7:56:54 AM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.50""]","[""194.36.160.50""]",1,"success"
3,0,"us_torbrowser","avert.org","http://www.avert.org/",0,"avert.org_0",1616770636694,420,"3/26/2021, 7:57:16 AM","[""127.0.0.53""]","success",1,"[""104.26.8.235"",""172.67.71.72"",""104.26.9.235""]","success",1,"[""104.26.9.235"",""104.26.8.235"",""172.67.71.72""]","[""104.26.8.235"",""172.67.71.72"",""104.26.9.235""]",1,"success"
4,0,"us_torbrowser","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616770651302,420,"3/26/2021, 7:57:31 AM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_torbrowser","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616770666845,420,"3/26/2021, 7:57:46 AM","[""127.0.0.53""]","success",1,"[""13.48.205.10"",""13.49.103.61"",""13.53.128.5""]","success",1,"[""13.53.128.5"",""13.48.205.10"",""13.49.103.61""]","[""13.48.205.10"",""13.49.103.61"",""13.53.128.5""]",1,"success"
6,0,"us_torbrowser","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616770706789,420,"3/26/2021, 7:58:26 AM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_torbrowser","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616770715590,420,"3/26/2021, 7:58:35 AM","[""127.0.0.53""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
8,0,"us_torbrowser","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616770754681,420,"3/26/2021, 7:59:14 AM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",1,"success"
9,0,"us_torbrowser","payu.in","http://payu.in",0,"payu.in_0",1616770769002,420,"3/26/2021, 7:59:29 AM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"us_torbrowser","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616770791314,420,"3/26/2021, 7:59:51 AM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"us_torbrowser","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616770808464,420,"3/26/2021, 8:00:08 AM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"us_torbrowser","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616770871016,420,"3/26/2021, 8:01:11 AM","[""127.0.0.53""]","success",1,"[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]",1,"success"
13,0,"us_torbrowser","raya.com","https://www.raya.com/",1,"raya.com_1",1616770888809,420,"3/26/2021, 8:01:28 AM","[""127.0.0.53""]","success",1,"[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]","success",1,"[""104.26.10.92"",""172.67.74.185"",""104.26.11.92""]","[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]",1,"success"
14,0,"us_torbrowser","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616770906594,420,"3/26/2021, 8:01:46 AM","[""127.0.0.53""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","[""104.21.27.29"",""172.67.140.243""]",1,"success"
15,0,"us_torbrowser","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616770921381,420,"3/26/2021, 8:02:01 AM","[""127.0.0.53""]","success",1,"[""3.13.31.214""]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",1,"success"
16,0,"us_torbrowser","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616770936797,420,"3/26/2021, 8:02:16 AM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",0,"net::ERR_SOCKS_CONNECTION_FAILED at http://www.akproxy.gq"
17,0,"us_torbrowser","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616770945830,420,"3/26/2021, 8:02:25 AM","[""127.0.0.53""]","success",1,"[""172.67.152.47"",""104.21.88.190""]","success",1,"[""172.67.152.47"",""104.21.88.190""]","[""172.67.152.47"",""104.21.88.190""]",1,"success"
18,0,"us_torbrowser","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616770963204,420,"3/26/2021, 8:02:43 AM","[""127.0.0.53""]","success",1,"[""37.48.65.136""]","success",1,"[""37.48.65.136""]","[""37.48.65.136""]",1,"success"
19,0,"us_torbrowser","al-akhbar.com","https://al-akhbar.com/",0,"al-akhbar.com_0",1616770982636,420,"3/26/2021, 8:03:02 AM","[""127.0.0.53""]","success",1,"[""104.26.3.184"",""172.67.75.16"",""104.26.2.184""]","success",1,"[""104.26.2.184"",""172.67.75.16"",""104.26.3.184""]","[""104.26.3.184"",""172.67.75.16"",""104.26.2.184""]",1,"success"
20,0,"us_torbrowser","ipvanish.com","https://www.ipvanish.com/",0,"ipvanish.com_0",1616771001180,420,"3/26/2021, 8:03:21 AM","[""127.0.0.53""]","success",1,"[""151.101.130.133"",""151.101.194.133"",""151.101.2.133"",""151.101.66.133""]","success",1,"[""151.101.2.133"",""151.101.194.133"",""151.101.130.133"",""151.101.66.133""]","[""151.101.130.133"",""151.101.194.133"",""151.101.2.133"",""151.101.66.133""]",1,"success"
21,0,"us_torbrowser","ampproject.org","https://www.ampproject.org/",0,"ampproject.org_0",1616771026295,420,"3/26/2021, 8:03:46 AM","[""127.0.0.53""]","success",1,"[""172.217.6.206""]","success",1,"[""172.217.6.206""]","[""172.217.6.206""]",1,"success"
